id,name,address,phone,adult_count,child_count,time
145080011.0,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8358141,2449,2047,2020/03/17 17:43:46
291010010.0,連江縣立醫院,連江縣南竿鄉復興村２１７號,(083)623995,0,39,2020/03/17 17:43:46
2101010013.0,松山健康服務中心,臺北市松山區八德路４段６９４號１、２樓,(02)27653147,2,2260,2020/03/17 17:43:46
2101020019.0,大安健康服務中心,臺北市大安區辛亥路３段１５號,(02)27390997,0,1048,2020/03/17 17:43:46
2101090011.0,大同健康服務中心,臺北市大同區昌吉街５２號１至２樓,(02)25948971,0,930,2020/03/17 17:43:46
2101100227.0,中山健康服務中心,臺北市中山區松江路３６７號１樓,(02)25013363,2,1607,2020/03/17 17:43:46
2101110027.0,內湖健康服務中心,臺北市內湖區民權東路６段９９號,(02)27908387,3,148,2020/03/17 17:43:46
2101120014.0,南港健康服務中心,臺北市南港區南港路１段３６０號１樓,(02)27868756,0,1897,2020/03/17 17:43:46
2101150012.0,士林健康服務中心,臺北市士林區中正路４３９號１樓,(02)28836268,3,1445,2020/03/17 17:43:46
2101161033.0,北投健康服務中心,臺北市北投區石牌路２段１１１號,(02)28261026,0,1927,2020/03/17 17:43:46
2101170050.0,信義健康服務中心,臺北市信義區信義路５段１５號,(02)87804152,0,1669,2020/03/17 17:43:46
2101180038.0,中正健康服務中心,臺北市中正區牯嶺街２４號,(02)23210168,0,1814,2020/03/17 17:43:46
2101191068.0,萬華健康服務中心,臺北市萬華區東園街１５２號,(02)23395384,0,780,2020/03/17 17:43:46
2101200017.0,政大(文山健康服務中心),臺北市文山區木柵路３段２２０號,(02)22343501,0,1669,2020/03/17 17:43:46
2303240013.0,臺中市中西區衛生所,臺中市西區民權路１０５號,(04)22223811,702,1208,2020/03/17 17:43:46
2311010010.0,基隆市中正區衛生所,基隆市中正區中正路２３６號２樓,(02)24621632,31,2585,2020/03/17 17:43:46
2311020016.0,基隆市七堵區衛生所,基隆市七堵區光明路２１－１（１－２樓）,(02)24562008,0,2580,2020/03/17 17:43:46
2311030012.0,基隆市暖暖區衛生所,基隆市暖暖區暖暖街２８１巷９８號,(02)24572630,294,2343,2020/03/17 17:43:46
2311040018.0,基隆市仁愛區衛生所,基隆市仁愛區光一路２６號,(02)24311592,0,2908,2020/03/17 17:43:46
2311050014.0,基隆市中山區衛生所,基隆市中山區中山二路１５號,(02)24229860,264,2148,2020/03/17 17:43:46
2311060010.0,基隆市安樂區衛生所,基隆市安樂區安樂路２段１６４號１樓前棟,(02)24318061,0,2062,2020/03/17 17:43:46
2311070016.0,基隆市信義區衛生所,基隆市信義區信一路６９號,(02)24221633,113,3342,2020/03/17 17:43:46
2312041028.0,新竹市北區衛生所,新竹市北區國華街六十九號一樓,(03)5353969,0,45,2020/03/17 17:43:46
2312050018.0,新竹市香山衛生所,新竹市香山區牛埔里育德街１８８號２樓,(03)5388109,0,60,2020/03/17 17:43:46
2317020010.0,臺中市東區衛生所,臺中市東區信義街１４２號,(04)22834121,0,1776,2020/03/17 17:43:46
2317040012.0,臺中市南區衛生所,臺中市南區工學路７２號２樓,(04)22629735,0,1120,2020/03/17 17:43:46
2317050018.0,臺中市北區衛生所,臺中市北區永興街３０１號４樓,(04)22359182,1069,2125,2020/03/17 17:43:46
2317060014.0,臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段２９９號,(04)27027068,149,2221,2020/03/17 17:43:46
2317070010.0,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓,(04)23827640,1,930,2020/03/17 17:43:46
2317080016.0,台中市北屯區軍功衛生所,臺中市北屯區軍功路二段１６號,(04)22393932,119,1405,2020/03/17 17:43:46
2317081022.0,台中市北屯區四民衛生所,臺中市北屯區后庄路１０６２號,(04)24211945,0,1905,2020/03/17 17:43:46
2321010013.0,臺南市東區衛生所,臺南市東區龍山里林森路１段４１８號,(06)2673613,1592,1937,2020/03/17 17:43:46
2321020019.0,臺南市南區衛生所,臺南市南區南都里南和路６號,(06)2618578,1687,2481,2020/03/17 17:43:46
